receiver: (g=0): rw=read, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
sender: (g=0): rw=write, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
fio-2.6-20-g2caf
Starting 2 processes
fio: waiting for connection
tid=5200 SEND 108932 : poll=0
tid=5200 SEND 109116 : poll=0
tid=5200 SEND 109240 : poll=0
tid=5200 SEND 108724 : poll=0
tid=5200 SEND 109480 : poll=0
tid=5200 SEND 146320 : poll=0
tid=5200 SEND 114444 : poll=0
tid=5200 SEND 109396 : poll=0
tid=5200 SEND 109968 : poll=0
tid=5200 SEND 109740 : poll=0
tid=5200 SEND 108864 : poll=0
tid=5200 SEND 108992 : poll=0
tid=5200 SEND 108876 : poll=0
tid=5200 SEND 109568 : poll=0
tid=5200 SEND 109384 : poll=0
tid=5200 SEND 112968 : poll=0
tid=5200 SEND 109216 : poll=0
tid=5200 SEND 109448 : poll=0
tid=5200 SEND 108996 : poll=0
tid=5200 SEND 109008 : poll=0
tid=5200 SEND 109404 : poll=0
tid=5200 SEND 109108 : poll=0
tid=5200 SEND 109008 : poll=0
tid=5200 SEND 108936 : poll=0
tid=5200 SEND 113060 : poll=0
tid=5200 SEND 108508 : poll=0
tid=5200 SEND 108272 : poll=0
tid=5200 SEND 109260 : poll=0
tid=5200 SEND 109344 : poll=0
tid=5200 SEND 108928 : poll=0
tid=5200 SEND 109080 : poll=0
tid=5200 SEND 108676 : poll=0
tid=5200 SEND 108500 : poll=0
tid=5200 SEND 145268 : poll=0
tid=5200 SEND 109764 : poll=0
tid=5200 SEND 109328 : poll=0
tid=5200 SEND 109228 : poll=0
tid=5200 SEND 109864 : poll=0
tid=5200 SEND 108756 : poll=0
tid=5200 SEND 109232 : poll=0
tid=5200 SEND 109204 : poll=0
tid=5200 SEND 109384 : poll=0
tid=5200 SEND 109264 : poll=0
tid=5200 SEND 114144 : poll=0
tid=5200 SEND 109652 : poll=0
tid=5200 SEND 109060 : poll=0
tid=5200 SEND 109424 : poll=0
tid=5200 SEND 109452 : poll=0
tid=5200 SEND 109336 : poll=0
tid=5200 SEND 109180 : poll=0
tid=5200 SEND 109012 : poll=0
tid=5200 SEND 109584 : poll=0
tid=5200 SEND 113000 : poll=0
tid=5200 SEND 109284 : poll=0
tid=5200 SEND 109852 : poll=0
tid=5200 SEND 109596 : poll=0
tid=5200 SEND 109096 : poll=0
tid=5200 SEND 108820 : poll=0
tid=5200 SEND 108980 : poll=0
tid=5200 SEND 109364 : poll=0
tid=5200 SEND 108728 : poll=0
tid=5200 SEND 115268 : poll=0
tid=5200 SEND 109816 : poll=0
tid=5200 SEND 109804 : poll=0
tid=5200 SEND 108932 : poll=0
tid=5200 SEND 109376 : poll=0
tid=5200 SEND 108932 : poll=0
tid=5200 SEND 108996 : poll=0
tid=5200 SEND 109372 : poll=0
tid=5200 SEND 108920 : poll=0
tid=5200 SEND 139468 : poll=0
tid=5200 SEND 113744 : poll=0
tid=5200 SEND 109468 : poll=0
tid=5200 SEND 109512 : poll=0
tid=5200 SEND 109388 : poll=0
tid=5200 SEND 109380 : poll=0
tid=5200 SEND 109176 : poll=0
tid=5200 SEND 109204 : poll=0
tid=5200 SEND 109248 : poll=0
tid=5200 SEND 109264 : poll=0
tid=5200 SEND 112924 : poll=0
tid=5200 SEND 109320 : poll=0
tid=5200 SEND 109040 : poll=0
tid=5200 SEND 108740 : poll=0
tid=5200 SEND 109364 : poll=0
tid=5200 SEND 109100 : poll=0
tid=5200 SEND 108652 : poll=0
tid=5200 SEND 109628 : poll=0
tid=5200 SEND 109240 : poll=0
tid=5200 SEND 114752 : poll=0
tid=5200 SEND 109340 : poll=0
tid=5200 SEND 109152 : poll=0
tid=5200 SEND 109504 : poll=0
tid=5200 SEND 108896 : poll=0
tid=5200 SEND 109200 : poll=0
tid=5200 SEND 108812 : poll=0
tid=5200 SEND 108812 : poll=0
tid=5200 SEND 109208 : poll=0
tid=5200 SEND 134592 : poll=0
tid=5200 SEND 113608 : poll=0
tid=5200 SEND 109536 : poll=0
tid=5200 SEND 109568 : poll=0
tid=5200 SEND 109732 : poll=0
tid=5200 SEND 110204 : poll=0
tid=5200 SEND 109672 : poll=0
tid=5200 SEND 108872 : poll=0
tid=5200 SEND 109164 : poll=0
tid=5200 SEND 109744 : poll=0
tid=5200 SEND 113592 : poll=0
tid=5200 SEND 109048 : poll=0
tid=5200 SEND 109324 : poll=0
tid=5200 SEND 108964 : poll=0
tid=5200 SEND 109220 : poll=0
tid=5200 SEND 109492 : poll=0
tid=5200 SEND 109236 : poll=0
tid=5200 SEND 108364 : poll=0
tid=5200 SEND 109064 : poll=0
tid=5200 SEND 113908 : poll=0
tid=5200 SEND 109716 : poll=0
tid=5200 SEND 110232 : poll=0
tid=5200 SEND 109716 : poll=0
tid=5200 SEND 109352 : poll=0
tid=5200 SEND 109208 : poll=0
tid=5200 SEND 109456 : poll=0
tid=5200 SEND 109344 : poll=0
tid=5200 SEND 109300 : poll=0
tid=5200 SEND 139556 : poll=0
tid=5200 SEND 110076 : poll=0
tid=5200 SEND 109280 : poll=0
tid=5200 SEND 109072 : poll=0
tid=5200 SEND 109304 : poll=0
tid=5200 SEND 113920 : poll=0
tid=5200 SEND 108212 : poll=0
tid=5200 SEND 111740 : poll=0
tid=5200 SEND 109224 : poll=0
tid=5200 SEND 110392 : poll=0
tid=5200 SEND 107288 : poll=0
tid=5200 SEND 107800 : poll=0
tid=5200 SEND 110528 : poll=0
tid=5200 SEND 109716 : poll=0
tid=5200 SEND 109864 : poll=0
tid=5200 SEND 110028 : poll=0
tid=5200 SEND 109748 : poll=0
tid=5200 SEND 114132 : poll=0
tid=5200 SEND 109424 : poll=0
tid=5200 SEND 109296 : poll=0
tid=5200 SEND 109468 : poll=0
tid=5200 SEND 109432 : poll=0
tid=5200 SEND 109604 : poll=0
tid=5200 SEND 109660 : poll=0
